username,interest_vector,Politics,Entertainment,Healthcare,Sports,Entrepreneurship,ScienceandTech
EghosaO,"[0.41, 0.48, 0.36, 0.4, 0.55, 0.48]",0.41,0.48,0.36,0.4,0.55,0.48
andi_staub,"[0.06, 0.07, 0.08, 0.06, 0.12, 0.19]",0.06,0.07,0.08,0.06,0.12,0.19
buissonnierem,"[0.38, 0.27, 0.52, 0.29, 0.39, 0.42]",0.38,0.27,0.52,0.29,0.39,0.42
DocVatsa,"[0.43, 0.37, 0.66, 0.36, 0.47, 0.54]",0.43,0.37,0.66,0.36,0.47,0.54
GidMK,"[0.42, 0.39, 0.64, 0.34, 0.51, 0.57]",0.42,0.39,0.64,0.34,0.51,0.57
GorwayGlobal,"[0.48, 0.34, 0.57, 0.4, 0.4, 0.47]",0.48,0.34,0.57,0.4,0.4,0.47
ZoeMcLaren,"[0.41, 0.35, 0.57, 0.32, 0.48, 0.49]",0.41,0.35,0.57,0.32,0.48,0.49
DiseaseEcology,"[0.34, 0.28, 0.65, 0.26, 0.37, 0.55]",0.34,0.28,0.65,0.26,0.37,0.55
DrMaurieMarkman,"[0.15, 0.15, 0.25, 0.12, 0.17, 0.2]",0.15,0.15,0.25,0.12,0.17,0.2
jlkowalik,"[0.34, 0.31, 0.46, 0.25, 0.36, 0.33]",0.34,0.31,0.46,0.25,0.36,0.33
Neuro_Skeptic,"[0.37, 0.4, 0.49, 0.31, 0.5, 0.59]",0.37,0.4,0.49,0.31,0.5,0.59
eatright,"[0.12, 0.12, 0.14, 0.12, 0.19, 0.16]",0.12,0.12,0.14,0.12,0.19,0.16
DoctorLFC,"[0.42, 0.33, 0.65, 0.36, 0.4, 0.46]",0.42,0.33,0.65,0.36,0.4,0.46
JasonRobertsRD,"[0.25, 0.25, 0.2, 0.2, 0.28, 0.23]",0.25,0.25,0.2,0.2,0.28,0.23
MartinKulldorff,"[0.32, 0.24, 0.62, 0.22, 0.33, 0.38]",0.32,0.24,0.62,0.22,0.33,0.38
BornFitness,"[0.4, 0.48, 0.38, 0.38, 0.63, 0.49]",0.4,0.48,0.38,0.38,0.63,0.49
paigebueckers1,"[0.31, 0.45, 0.22, 0.4, 0.42, 0.28]",0.31,0.45,0.22,0.4,0.42,0.28
BeardAndBoujeee,"[0.36, 0.41, 0.27, 0.39, 0.45, 0.35]",0.36,0.41,0.27,0.39,0.45,0.35
mikeyfish1982,"[0.34, 0.43, 0.27, 0.56, 0.46, 0.36]",0.34,0.43,0.27,0.56,0.46,0.36
adamboultwood,"[0.34, 0.46, 0.26, 0.45, 0.49, 0.36]",0.34,0.46,0.26,0.45,0.49,0.36
edgbaston__149,"[0.11, 0.14, 0.08, 0.2, 0.12, 0.09]",0.11,0.14,0.08,0.2,0.12,0.09
Devanayagam,"[0.12, 0.17, 0.09, 0.23, 0.13, 0.11]",0.12,0.17,0.09,0.23,0.13,0.11
ToastedChels,"[0.04, 0.05, 0.03, 0.14, 0.08, 0.04]",0.04,0.05,0.03,0.14,0.08,0.04
abbstace,"[0.38, 0.46, 0.28, 0.44, 0.49, 0.37]",0.38,0.46,0.28,0.44,0.49,0.37
WtephenWurrySZN,"[0.1, 0.14, 0.08, 0.17, 0.14, 0.1]",0.1,0.14,0.08,0.17,0.14,0.1
sign_up1029,"[0.39, 0.39, 0.27, 0.35, 0.43, 0.35]",0.39,0.39,0.27,0.35,0.43,0.35
YeshwantChitte,"[0.26, 0.31, 0.26, 0.42, 0.31, 0.26]",0.26,0.31,0.26,0.42,0.31,0.26
TennisPuneet,"[0.3, 0.38, 0.24, 0.34, 0.4, 0.31]",0.3,0.38,0.24,0.34,0.4,0.31
jimmy9toes,"[0.26, 0.34, 0.2, 0.45, 0.36, 0.28]",0.26,0.34,0.2,0.45,0.36,0.28
TonyWurtzSK,"[0.35, 0.47, 0.27, 0.46, 0.5, 0.37]",0.35,0.47,0.27,0.46,0.5,0.37
malavshroff,"[0.3, 0.3, 0.21, 0.37, 0.32, 0.27]",0.3,0.3,0.21,0.37,0.32,0.27
gathogo_kennedy,"[0.08, 0.05, 0.08, 0.11, 0.06, 0.06]",0.08,0.05,0.08,0.11,0.06,0.06
rakeshrussell52,"[0.21, 0.24, 0.15, 0.39, 0.23, 0.2]",0.21,0.24,0.15,0.39,0.23,0.2
pilitobar87,"[0.55, 0.32, 0.31, 0.26, 0.4, 0.33]",0.55,0.32,0.31,0.26,0.4,0.33
EwallWice,"[0.67, 0.3, 0.36, 0.29, 0.36, 0.37]",0.67,0.3,0.36,0.29,0.36,0.37
KamenIntheLoop,"[0.68, 0.4, 0.43, 0.35, 0.48, 0.47]",0.68,0.4,0.43,0.35,0.48,0.47
terryshumaker,"[0.67, 0.32, 0.34, 0.29, 0.4, 0.34]",0.67,0.32,0.34,0.29,0.4,0.34
Wake_Up_Mitron,"[0.3, 0.22, 0.4, 0.25, 0.26, 0.27]",0.3,0.22,0.4,0.25,0.26,0.27
amitabhnews18,"[0.25, 0.16, 0.23, 0.17, 0.15, 0.18]",0.25,0.16,0.23,0.17,0.15,0.18
nistula,"[0.27, 0.16, 0.47, 0.41, 0.22, 0.27]",0.27,0.16,0.47,0.41,0.22,0.27
katiewadington,"[0.49, 0.41, 0.38, 0.38, 0.48, 0.46]",0.49,0.41,0.38,0.38,0.48,0.46
stephaniekotuby,"[0.75, 0.34, 0.44, 0.34, 0.4, 0.44]",0.75,0.34,0.44,0.34,0.4,0.44
Nidhi,"[0.46, 0.35, 0.61, 0.33, 0.38, 0.4]",0.46,0.35,0.61,0.33,0.38,0.4
stew_boss,"[0.5, 0.27, 0.31, 0.26, 0.34, 0.31]",0.5,0.27,0.31,0.26,0.34,0.31
DougAndres,"[0.44, 0.29, 0.3, 0.25, 0.35, 0.32]",0.44,0.29,0.3,0.25,0.35,0.32
NMalliotakis,"[0.52, 0.39, 0.45, 0.35, 0.49, 0.45]",0.52,0.39,0.45,0.35,0.49,0.45
SandhuKanwar,"[0.5, 0.37, 0.36, 0.38, 0.41, 0.39]",0.5,0.37,0.36,0.38,0.41,0.39
ShekharGupta,"[0.43, 0.29, 0.67, 0.31, 0.32, 0.45]",0.43,0.29,0.67,0.31,0.32,0.45
mipalkar,"[0.17, 0.41, 0.12, 0.2, 0.26, 0.18]",0.17,0.41,0.12,0.2,0.26,0.18
taran_adarsh,"[0.16, 0.47, 0.14, 0.22, 0.17, 0.21]",0.16,0.47,0.14,0.22,0.17,0.21
PiyaSRoy,"[0.51, 0.59, 0.34, 0.4, 0.59, 0.47]",0.51,0.59,0.34,0.4,0.59,0.47
trilbyberesford,"[0.23, 0.39, 0.21, 0.32, 0.33, 0.32]",0.23,0.39,0.21,0.32,0.33,0.32
collinDcunha,"[0.41, 0.69, 0.34, 0.42, 0.5, 0.43]",0.41,0.69,0.34,0.42,0.5,0.43
vineetkumar_s,"[0.17, 0.23, 0.23, 0.18, 0.21, 0.18]",0.17,0.23,0.23,0.18,0.21,0.18
KimikoGlenn,"[0.28, 0.36, 0.19, 0.26, 0.32, 0.26]",0.28,0.36,0.19,0.26,0.32,0.26
annasmithjourno,"[0.22, 0.46, 0.17, 0.22, 0.3, 0.24]",0.22,0.46,0.17,0.22,0.3,0.24
SteveBPrice,"[0.2, 0.38, 0.13, 0.15, 0.29, 0.15]",0.2,0.38,0.13,0.15,0.29,0.15
sudhirsrinivasn,"[0.27, 0.61, 0.21, 0.26, 0.39, 0.3]",0.27,0.61,0.21,0.26,0.39,0.3
nimishhalkar,"[0.24, 0.6, 0.19, 0.31, 0.3, 0.28]",0.24,0.6,0.19,0.31,0.3,0.28
SPICinemas,"[0.21, 0.48, 0.16, 0.27, 0.26, 0.26]",0.21,0.48,0.16,0.27,0.26,0.26
jrapepper,"[0.27, 0.38, 0.19, 0.23, 0.37, 0.25]",0.27,0.38,0.19,0.23,0.37,0.25
pudiharicharan,"[0.38, 0.66, 0.32, 0.44, 0.46, 0.4]",0.38,0.66,0.32,0.44,0.46,0.4
sheilakathleen,"[0.31, 0.54, 0.24, 0.31, 0.49, 0.35]",0.31,0.54,0.24,0.31,0.49,0.35
katiewalshstx,"[0.38, 0.64, 0.31, 0.38, 0.56, 0.43]",0.38,0.64,0.31,0.38,0.56,0.43
