username,interest_vector,Politics,Entertainment,Healthcare,Sports,Entrepreneurship,ScienceandTech
dvasishtha,"[0.42, 0.43, 0.54, 0.39, 0.6, 0.46]",0.42,0.43,0.54,0.39,0.6,0.46
warikoo,"[0.42, 0.49, 0.34, 0.38, 0.66, 0.43]",0.42,0.49,0.34,0.38,0.66,0.43
malpani,"[0.4, 0.37, 0.56, 0.33, 0.59, 0.44]",0.4,0.37,0.56,0.33,0.59,0.44
MoodyKhedr,"[0.44, 0.51, 0.39, 0.38, 0.71, 0.45]",0.44,0.51,0.39,0.38,0.71,0.45
KarinaCBell,"[0.47, 0.53, 0.36, 0.36, 0.65, 0.41]",0.47,0.53,0.36,0.36,0.65,0.41
e2org,"[0.3, 0.23, 0.32, 0.22, 0.35, 0.29]",0.3,0.23,0.32,0.22,0.35,0.29
MacConwell,"[0.22, 0.28, 0.18, 0.22, 0.37, 0.23]",0.22,0.28,0.18,0.22,0.37,0.23
alexdtang,"[0.4, 0.46, 0.39, 0.43, 0.66, 0.46]",0.4,0.46,0.39,0.43,0.66,0.46
Jai__Malik,"[0.3, 0.38, 0.24, 0.3, 0.48, 0.3]",0.3,0.38,0.24,0.3,0.48,0.3
jasonlk,"[0.32, 0.37, 0.34, 0.36, 0.54, 0.39]",0.32,0.37,0.34,0.36,0.54,0.39
mattturck,"[0.36, 0.43, 0.29, 0.34, 0.54, 0.38]",0.36,0.43,0.29,0.34,0.54,0.38
MrAllenMiller,"[0.38, 0.45, 0.36, 0.44, 0.6, 0.4]",0.38,0.45,0.36,0.44,0.6,0.4
oakhcft,"[0.31, 0.33, 0.41, 0.3, 0.47, 0.33]",0.31,0.33,0.41,0.3,0.47,0.33
zabackj,"[0.41, 0.47, 0.37, 0.38, 0.54, 0.43]",0.41,0.47,0.37,0.38,0.54,0.43
EghosaO,"[0.41, 0.48, 0.36, 0.4, 0.55, 0.44]",0.41,0.48,0.36,0.4,0.55,0.44
andi_staub,"[0.06, 0.07, 0.08, 0.06, 0.12, 0.21]",0.06,0.07,0.08,0.06,0.12,0.21
paigebueckers1,"[0.31, 0.45, 0.22, 0.4, 0.42, 0.24]",0.31,0.45,0.22,0.4,0.42,0.24
BeardAndBoujeee,"[0.36, 0.41, 0.27, 0.39, 0.45, 0.34]",0.36,0.41,0.27,0.39,0.45,0.34
mikeyfish1982,"[0.34, 0.43, 0.27, 0.56, 0.46, 0.32]",0.34,0.43,0.27,0.56,0.46,0.32
adamboultwood,"[0.34, 0.46, 0.26, 0.45, 0.49, 0.33]",0.34,0.46,0.26,0.45,0.49,0.33
edgbaston__149,"[0.11, 0.14, 0.08, 0.2, 0.12, 0.08]",0.11,0.14,0.08,0.2,0.12,0.08
Devanayagam,"[0.12, 0.17, 0.09, 0.23, 0.13, 0.09]",0.12,0.17,0.09,0.23,0.13,0.09
ToastedChels,"[0.04, 0.05, 0.03, 0.14, 0.08, 0.04]",0.04,0.05,0.03,0.14,0.08,0.04
abbstace,"[0.38, 0.46, 0.28, 0.44, 0.49, 0.36]",0.38,0.46,0.28,0.44,0.49,0.36
WtephenWurrySZN,"[0.1, 0.14, 0.08, 0.17, 0.14, 0.1]",0.1,0.14,0.08,0.17,0.14,0.1
sign_up1029,"[0.39, 0.39, 0.27, 0.35, 0.43, 0.34]",0.39,0.39,0.27,0.35,0.43,0.34
YeshwantChitte,"[0.26, 0.31, 0.26, 0.42, 0.31, 0.23]",0.26,0.31,0.26,0.42,0.31,0.23
TennisPuneet,"[0.3, 0.38, 0.24, 0.34, 0.4, 0.3]",0.3,0.38,0.24,0.34,0.4,0.3
jimmy9toes,"[0.26, 0.34, 0.2, 0.45, 0.36, 0.27]",0.26,0.34,0.2,0.45,0.36,0.27
TonyWurtzSK,"[0.35, 0.47, 0.27, 0.46, 0.5, 0.35]",0.35,0.47,0.27,0.46,0.5,0.35
malavshroff,"[0.3, 0.3, 0.21, 0.37, 0.32, 0.22]",0.3,0.3,0.21,0.37,0.32,0.22
gathogo_kennedy,"[0.08, 0.05, 0.08, 0.11, 0.06, 0.05]",0.08,0.05,0.08,0.11,0.06,0.05
rakeshrussell52,"[0.21, 0.24, 0.15, 0.39, 0.23, 0.17]",0.21,0.24,0.15,0.39,0.23,0.17
